,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
280,360,1,20,130,220,400,512,0,500,64,1,0,61290,3,4,1
281,320,1,20,130,220,400,512,0,500,64,1,1,54990,4,9,1
282,320,1,20,130,220,400,512,0,500,64,1,1,59990,4,26,4
283,310,1,20,130,220,400,512,0,500,32,1,0,84990,5,5,0
284,350,1,20,130,220,400,512,0,500,64,1,1,72500,4,40,3
285,320,1,20,130,220,400,512,0,500,64,0,0,59990,3,44,6
286,320,1,20,130,220,400,512,0,500,64,1,1,87990,4,28,6
287,350,1,20,130,220,400,512,0,500,64,0,0,57990,4,1541,123
288,360,1,20,130,220,400,512,0,500,64,1,1,69490,4,72,7
289,320,1,20,130,220,400,512,0,500,64,3,1,68990,4,44,8
290,320,1,20,130,220,400,512,0,500,32,1,1,77990,4,17,2
291,310,1,20,130,220,420,512,0,500,64,1,0,105990,4,59,11
292,370,1,20,130,220,420,512,0,500,64,1,0,79990,3,0,0
293,360,1,20,130,220,400,512,0,500,64,1,1,55490,4,337,27
294,320,1,20,130,220,400,512,0,500,64,1,1,69990,4,10,2
295,310,1,20,130,220,400,512,0,500,64,1,1,84990,4,10,2
296,360,1,20,130,220,400,512,0,500,64,0,0,59990,3,31,7
297,360,1,20,110,220,420,512,0,500,64,1,1,111890,3,0,0
298,360,1,20,130,220,400,512,0,500,64,1,0,65990,4,10,0
299,310,1,20,130,220,420,512,0,500,32,1,1,72990,4,76,14
300,360,1,20,130,220,400,512,0,500,64,1,1,71090,4,44,6
301,370,1,20,130,220,400,512,0,500,64,2,0,74990,3,0,0
302,310,1,20,110,220,450,512,0,500,64,1,1,79990,4,11,3
303,370,1,20,130,220,400,512,0,500,64,1,0,55490,4,138,16
304,360,1,20,130,220,400,512,0,500,64,1,1,66490,4,199,17
305,310,1,20,130,220,400,512,0,500,64,1,1,53400,4,46,6
306,360,1,20,130,220,400,512,0,500,64,1,1,74500,4,45,5
307,360,1,20,130,220,420,512,0,500,64,1,1,114990,3,0,0
308,360,1,20,130,220,400,512,0,500,64,0,0,61990,4,35,4
309,380,1,20,110,220,420,512,0,520,64,1,0,159990,4,32,5
310,380,1,20,150,220,440,512,0,520,64,1,0,172090,4,108,13
311,370,1,20,130,220,400,512,0,500,64,0,0,74990,3,0,0
312,370,1,20,110,220,400,512,0,500,64,1,0,56490,4,814,112
313,320,1,20,110,220,400,512,0,500,64,3,0,147000,3,0,0
314,320,1,20,130,220,400,512,0,500,64,1,1,55990,4,75,9
315,350,1,20,130,220,400,512,0,500,64,1,1,77990,3,0,0
316,350,1,20,110,220,400,512,0,500,64,1,1,106490,4,3,0
317,320,1,20,130,220,400,512,0,500,32,1,1,70990,4,11,3
318,320,1,20,130,220,400,512,0,500,64,1,1,64990,4,125,11
319,330,1,20,130,220,400,512,0,500,64,1,0,57990,3,0,0
320,310,1,20,110,220,400,512,0,500,64,1,0,64990,4,4,0
321,370,1,20,110,220,400,512,0,500,64,1,0,54990,4,714,147
322,350,1,20,130,220,420,512,0,500,64,0,0,111999,3,0,0
323,320,1,20,110,220,420,512,0,500,64,1,1,70798,4,21,3
324,320,1,20,160,220,400,512,0,500,64,0,0,59990,3,9,1
325,330,1,20,150,220,400,512,0,500,64,1,0,99500,3,0,0
326,350,1,20,110,220,400,512,0,500,64,1,1,55990,4,30,4
327,310,1,20,150,220,450,512,0,500,64,1,0,72990,4,44,4
328,330,1,20,150,220,440,512,0,500,64,1,0,64990,3,4,1
329,310,1,20,130,220,400,512,0,500,64,0,0,57990,3,0,0
330,350,1,20,130,220,400,512,0,500,64,1,1,76990,4,14,2
331,320,1,20,130,220,400,512,0,500,64,2,1,62998,4,739,71
332,360,1,20,130,220,400,512,0,500,64,1,1,77990,4,31,5
333,350,1,20,110,220,400,512,0,500,64,1,1,114990,4,145,19
334,360,1,20,110,220,400,512,0,500,64,1,1,65990,3,0,0
335,360,1,20,130,220,400,512,0,500,64,1,1,88990,3,19,2
336,320,1,20,110,220,400,512,0,500,64,0,0,113590,3,0,0
337,310,1,20,130,220,420,512,0,500,64,1,1,73990,4,32,6
338,350,1,20,130,220,400,512,0,500,64,1,1,61000,4,1124,100
339,310,1,20,130,220,420,512,0,500,64,1,0,99990,4,35,6
340,320,1,20,130,220,400,512,0,500,64,1,1,67990,4,9,0
341,360,1,20,130,220,400,512,0,500,64,1,1,70799,4,98,6
342,320,1,20,130,220,400,512,0,500,64,1,1,65990,4,31,2
343,310,1,20,150,220,400,512,0,500,64,1,0,53690,4,19,3
